customerid,recency,frequency,monetaryValue,r_score,f_score,m_score,rfm_score,segment,aov,expected_gap,p_active,clv
CUSG8SBI,122,1,716.0,3,1,2,6,Promising,716.0,182.5,0.7159,254.94
CUSP87WX,123,1,784.0,3,1,3,7,Promising,784.0,182.5,0.7139,278.38
CUSEQTUL,126,2,1551.0,3,2,5,10,Need Attention,775.5,182.5,0.7081,546.22
CUS8DRC1,128,2,1274.0,3,2,4,9,Need Attention,637.0,182.5,0.7042,446.22
CUSO64T0,132,2,1593.0,3,2,5,10,Need Attention,796.5,182.5,0.6965,551.87
CUSPZUE8,136,1,739.0,3,1,3,7,Promising,739.0,182.5,0.6889,253.22
CUSRP0J4,136,2,1471.0,3,2,4,9,Need Attention,735.5,182.5,0.6889,504.05
CUS8BBI4,138,1,661.0,3,1,1,5,Promising,661.0,182.5,0.6852,225.26
CUSWZS3T,141,1,790.0,3,1,3,7,Promising,790.0,182.5,0.6796,267.02
CUSFGSXW,147,2,1545.0,3,2,5,10,Need Attention,772.5,182.5,0.6685,513.69
CUSFAZZ8,151,1,729.0,3,1,3,7,Promising,729.0,182.5,0.6612,239.74
CUSBPS3Y,160,1,693.0,3,1,2,6,Promising,693.0,182.5,0.6451,222.35
CUSX8FSV,168,1,837.0,3,1,4,8,Promising,837.0,182.5,0.6311,262.73
CUSBQH7M,176,1,657.0,3,1,1,5,Promising,657.0,182.5,0.6174,201.76
CUSBKK4C,179,1,836.0,3,1,4,8,Promising,836.0,182.5,0.6124,254.63
CUSXTAD1,181,1,642.0,3,1,1,5,Promising,642.0,182.5,0.609,194.47
CUSOWGZR,184,1,637.0,3,1,1,5,Promising,637.0,182.5,0.604,191.38
CUSXDP5G,193,1,697.0,2,1,2,5,Hibernating,697.0,182.5,0.5893,204.3
CUS6QJIU,194,1,791.0,2,1,3,6,Hibernating,791.0,182.5,0.5877,231.22
CUSYT7D5,195,1,629.0,2,1,1,4,Hibernating,629.0,182.5,0.5861,183.36
CUS08YG0,201,1,785.0,2,1,3,6,Hibernating,785.0,182.5,0.5766,225.11
CUSAGL58,202,1,689.0,2,1,2,5,Hibernating,689.0,182.5,0.575,197.04
CUSSEMCI,205,1,640.0,2,1,1,4,Hibernating,640.0,182.5,0.5703,181.53
CUSE511M,210,1,711.0,2,1,2,5,Hibernating,711.0,182.5,0.5625,198.92
CUSV1V93,211,1,658.0,2,1,1,4,Hibernating,658.0,182.5,0.561,183.59
CUSHZIOY,213,1,717.0,2,1,2,5,Hibernating,717.0,182.5,0.5579,198.96
CUSSWM31,218,1,657.0,2,1,1,4,Hibernating,657.0,182.5,0.5503,179.83
CUSWJCKJ,223,1,828.0,2,1,4,7,Hibernating,828.0,182.5,0.5428,223.55
CUS60FKH,235,1,652.0,2,1,1,4,Hibernating,652.0,182.5,0.5253,170.34
CUST0HL9,251,1,712.0,2,1,2,5,Hibernating,712.0,182.5,0.5027,178.04
CUSUOVW1,254,1,715.0,2,1,2,5,Hibernating,715.0,182.5,0.4986,177.32
CUSY0IFZ,255,1,823.0,2,1,3,6,Hibernating,823.0,182.5,0.4973,203.55
CUSH75LX,262,1,826.0,2,1,3,6,Hibernating,826.0,182.5,0.4878,200.41
CUSHHPBM,267,1,785.0,2,1,3,6,Hibernating,785.0,182.5,0.4812,187.87
CUS5USGI,268,1,725.0,2,1,2,5,Hibernating,725.0,182.5,0.4799,173.04
CUSGOG72,270,1,805.0,2,1,3,6,Hibernating,805.0,182.5,0.4772,191.08
CUSXA11D,277,1,656.0,2,1,1,4,Hibernating,656.0,182.5,0.4682,152.76
CUSR23GD,280,1,690.0,1,1,2,4,Lost,690.0,182.5,0.4643,159.36
CUS8G8JD,282,1,688.0,1,1,2,4,Lost,688.0,182.5,0.4618,158.03
CUS43D8W,295,1,781.0,1,1,3,5,Lost,781.0,182.5,0.4457,173.11
CUSITFOY,300,1,674.0,1,1,2,4,Lost,674.0,182.5,0.4396,147.36
CUSF877V,310,1,604.0,1,1,1,3,Lost,604.0,182.5,0.4277,128.49
CUSKEYZ7,316,1,738.0,1,1,3,5,Lost,738.0,182.5,0.4207,154.43
CUS5Q14J,326,1,724.0,1,1,2,4,Lost,724.0,182.5,0.4094,147.41
CUSPTK93,330,1,602.0,1,1,1,3,Lost,602.0,182.5,0.4049,121.23
CUS6QICA,343,1,658.0,1,1,1,3,Lost,658.0,182.5,0.3907,127.88
CUS6SYLZ,343,1,632.0,1,1,1,3,Lost,632.0,182.5,0.3907,122.82
CUSJ2QP8,344,1,769.0,1,1,3,5,Lost,769.0,182.5,0.3897,149.04
CUSBMYYM,346,1,826.0,1,1,3,5,Lost,826.0,182.5,0.3875,159.21
CUSGVYIE,351,1,663.0,1,1,1,3,Lost,663.0,182.5,0.3823,126.05
CUSGXN0G,351,1,677.0,1,1,2,4,Lost,677.0,182.5,0.3823,128.72
CUS63CFL,351,1,835.0,1,1,4,6,Lost,835.0,182.5,0.3823,158.76
CUSCIYHE,352,1,747.0,1,1,3,5,Lost,747.0,182.5,0.3812,141.64
CUSZE5R5,353,1,672.0,1,1,2,4,Lost,672.0,182.5,0.3802,127.07
CUS8Z2FL,356,1,606.0,1,1,1,3,Lost,606.0,182.5,0.3771,113.65
CUSOTOHP,359,1,842.0,1,1,4,6,Lost,842.0,182.5,0.374,156.62
CUS4GH2M,365,1,779.0,1,1,3,5,Lost,779.0,182.5,0.3679,142.54
