customerid,churn_intent,severity,severity_max,driver,driver_conf,recoverable,needs_human,weakest_question,weakest_conf
CUS3FB9W,0.12,1.95,3,product,1.0,0.81,0.5,severity,0.85
CUS8D1WJ,0.48,2.05,3,product,0.99,0.66,0.54,severity,0.95
CUS0LVSN,0.02,0.0,3,none,1.0,0.75,0.17,severity,1.0
CUSHR62G,0.05,1.45,3,product,0.92,0.76,0.71,severity,0.43
CUSQ5C34,0.05,1.42,3,product,0.93,0.77,0.68,severity,0.4
CUSXO9T7,0.43,2.02,3,price,0.83,0.76,0.62,severity,0.73
CUSWD14V,0.43,2.0,3,price,1.0,0.61,0.39,severity,0.98
CUSG8SBI,0.06,0.09,3,none,0.91,0.74,0.26,severity,0.91
CUSP87WX,0.02,0.01,3,none,0.97,0.69,0.42,driver,0.97
CUSEQTUL,0.32,2.0,3,price,1.0,0.75,0.39,severity,0.99
CUS8DRC1,0.05,1.43,3,product,0.94,0.76,0.72,severity,0.42
CUSO64T0,0.4,1.99,3,price,1.0,0.67,0.45,severity,0.99
CUSPZUE8,0.09,0.67,3,product,0.99,0.77,0.24,severity,0.65
CUSRP0J4,0.33,1.99,3,price,1.0,0.76,0.4,severity,0.99
CUS8BBI4,0.43,2.02,3,price,0.83,0.76,0.62,severity,0.73
CUSWZS3T,0.06,1.57,3,product,0.95,0.72,0.54,severity,0.54
CUSFGSXW,0.47,2.07,3,price,0.84,0.76,0.71,severity,0.77
CUSFAZZ8,0.51,2.03,3,product,0.99,0.7,0.36,severity,0.97
CUSBPS3Y,0.13,1.88,3,product,1.0,0.8,0.44,severity,0.76
CUSX8FSV,0.39,1.99,3,price,1.0,0.62,0.41,severity,0.99
CUSBQH7M,0.14,1.69,3,product,0.99,0.74,0.42,severity,0.68
CUSBKK4C,0.03,0.0,3,none,1.0,0.61,0.27,severity,1.0
CUSXTAD1,0.46,1.97,3,price,0.88,0.71,0.62,severity,0.74
CUSOWGZR,0.1,0.64,3,product,0.99,0.71,0.25,severity,0.63
CUSXDP5G,0.45,2.04,3,product,0.99,0.71,0.54,severity,0.96
CUS6QJIU,0.02,0.01,3,none,0.96,0.69,0.4,driver,0.96
CUSYT7D5,0.37,2.01,3,price,1.0,0.63,0.58,severity,0.98
CUS08YG0,0.17,0.81,3,price,0.89,0.8,0.77,severity,0.19
CUSAGL58,0.02,0.0,3,none,1.0,0.63,0.49,severity,1.0
CUSSEMCI,0.11,0.02,3,none,0.62,0.75,0.15,driver,0.62
CUSE511M,0.06,1.56,3,product,0.97,0.72,0.54,severity,0.53
CUSV1V93,0.14,1.69,3,product,0.99,0.72,0.4,severity,0.68
CUSHZIOY,0.05,0.0,3,none,0.91,0.75,0.29,driver,0.91
CUSSWM31,0.02,0.0,3,none,1.0,0.67,0.58,severity,1.0
CUSWJCKJ,0.09,0.57,3,product,0.99,0.76,0.25,severity,0.55
CUS60FKH,0.15,1.78,3,product,0.99,0.75,0.51,severity,0.77
CUST0HL9,0.06,0.12,3,none,0.9,0.78,0.27,severity,0.88
CUSUOVW1,0.12,1.91,3,product,1.0,0.78,0.45,severity,0.81
CUSY0IFZ,0.05,0.05,3,none,0.96,0.71,0.32,severity,0.95
CUSH75LX,0.38,2.0,3,price,1.0,0.66,0.59,severity,0.99
CUSHHPBM,0.06,0.06,3,circumstance,0.98,0.82,0.19,severity,0.94
CUS5USGI,0.8,0.17,3,price,0.96,0.67,0.62,severity,0.83
CUSGOG72,0.02,0.01,3,none,0.92,0.66,0.41,driver,0.92
CUSXA11D,0.17,1.75,3,product,0.99,0.77,0.36,severity,0.74
CUSR23GD,0.41,0.02,3,competitor,0.93,0.6,0.49,driver,0.93
CUS8G8JD,0.79,0.16,3,price,0.94,0.65,0.6,severity,0.84
CUS43D8W,0.09,0.43,3,circumstance,1.0,0.76,0.26,severity,0.57
CUSITFOY,0.82,1.39,3,circumstance,0.38,0.76,0.31,severity,0.38
CUSF877V,0.96,0.0,3,none,1.0,0.15,0.26,severity,1.0
CUSKEYZ7,0.98,1.43,3,circumstance,1.0,0.14,0.45,severity,0.0
CUS5Q14J,0.79,0.26,3,price,0.96,0.71,0.53,severity,0.74
CUSPTK93,0.78,0.32,3,price,0.93,0.68,0.67,severity,0.68
CUS6QICA,0.3,0.03,3,none,0.86,0.2,0.19,driver,0.86
CUS6SYLZ,0.81,1.41,3,circumstance,0.28,0.75,0.31,driver,0.28
CUSJ2QP8,0.8,0.28,3,price,0.94,0.72,0.54,severity,0.72
CUSBMYYM,0.09,0.01,3,none,0.63,0.74,0.14,driver,0.63
CUSGVYIE,0.79,0.31,3,price,0.95,0.7,0.68,severity,0.69
CUSGXN0G,0.82,2.15,3,competitor,0.97,0.69,0.72,severity,0.54
CUS63CFL,0.28,0.03,3,none,0.85,0.24,0.21,driver,0.85
CUSCIYHE,0.69,1.3,3,competitor,1.0,0.76,0.59,severity,0.39
CUSZE5R5,0.98,1.15,3,circumstance,1.0,0.13,0.56,severity,0.0
CUS8Z2FL,0.12,0.16,3,circumstance,0.99,0.75,0.15,severity,0.84
CUSOTOHP,0.96,0.0,3,none,1.0,0.14,0.31,severity,1.0
CUS4GH2M,0.97,0.3,3,price,0.64,0.36,0.33,driver,0.64
